Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
ELLE,73,91,R,"Mystery & Thriller, Drama",French (France),Paul Verhoeven,"Saïd Ben Saïd, Michel Merkt","David Birke, Philippe Djian, David Birke, Harold Manning",2016-11-11,2017-02-21,$2.3M,2h 11m,Sony Pictures Classics,"Dolby, Dolby Digital",,
FACES PLACES,89,99,PG,Documentary,French (France),"Agnès Varda, JR",Rosalie Varda,,2017-10-06,2018-02-27,$952.7K,1h 29m,Cohen Media Group,,Flat (1.85:1),
FRANTZ,85,91,PG-13,"History, Drama",French (France),François Ozon,"Éric Altmayer, Nicolas Altmayer, Stefan Arndt, Uwe Schott",François Ozon,2017-03-15,2017-06-13,$880.5K,1h 53m,Music Box Films,,,
GIRL,74,84,R,Drama,French (France),Lukas Dhont,Dirk Impens,"Lukas Dhont, Angelo Tijssens",,2019-03-15,,1h 40m,,,,
THE FAIRY,56,90,None,"Comedy, Drama, Romance",French (France),"Dominique Abel, Fiona Gordon, Bruno Romy","Charles Gillibert, Marin Karmitz, Dominique Abel, Fiona Gordon","Dominique Abel, Fiona Gordon, Bruno Romy, Dominique Abel",2012-02-24,2016-02-18,$38.4K,1h 34m,Kino Lorber,,,
THE SECRET OF THE GRAIN,76,93,None,Drama,French (France),Abdel Kechiche,Claude Berri,Abdel Kechiche,2008-12-24,2010-07-27,,2h 31m,IFC Films,,,
LA MÔME,84,74,PG-13,"Biography, Drama",French (France),Olivier Dahan,Alain Goldman,"Olivier Dahan, Isabelle Sobelman",2007-06-08,2007-11-13,$10.3M,2h 20m,Picturehouse,Dolby Digital,,
LAST TANGO IN PARIS,76,83,NC-17,Drama,French (France),Bernardo Bertolucci,Alberto Grimaldi,"Bernardo Bertolucci, Bernardo Bertolucci, Franco Arcalli, Agnès Varda, Franco Arcalli, Bernardo Bertolucci",1972-10-14,2001-08-14,,2h 10m,"United Artists, MGM Home Entertainment",Mono,35mm,
LONG WAY NORTH,77,98,PG,"Adventure, Drama, Animation",French (France),Rémi Chayé,"Ron Dyens, Henri Magalon","Claire Paoletti, Patricia Valeix, Claire Paoletti, Patricia Valeix",2016-09-30,2017-01-03,,1h 21m,Shout! Factory,,,
MY LIFE AS A ZUCCHINI,89,99,PG-13,"Comedy, Drama, Animation",French (France),Claude Barras,"Marc Bonny, Armelle Glorennec, Pauline Gygax, Max Karli, Kateryna Merkt, Michel Merkt",Céline Sciamma,2017-02-24,2017-05-23,$292.3K,1h 6m,GKIDS,,,
