Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
FEAR STREET PART TWO: 1978,80,87,R (Language Throughout|Drug Use|Bloody Horror Violence|Nudity|Sexual Content),Horror,English,Leigh Janiak,,"Leigh Janiak, Zak Olkewicz",,"Jul 9, 2021",,1h 51m,,Dolby Digital,Scope (2.35:1),
HOUSE,79,90,,"Mystery & Thriller, Comedy",Japanese,Nobuhiko Ôbayashi,"Nobuhiko Ôbayashi, Yorihiko Yamada",Chiho Katsura,,"Oct 26, 2010",,1h 27m,,,,
ORLANDO,82,84,PG-13,"Fantasy, History, Drama, Lgbtq+",English,Sally Potter,Christopher Sheppard,Sally Potter,"Jun 9, 1993  Original","Aug 3, 1999",$5.7M,1h 33m,Sony Pictures Classics,Surround,,
PATTON,93,90,PG,"War, Biography, History, Drama",English,Franklin J. Schaffner,Frank McCarthy,"Ladislas Farago, Omar N. Bradley, Francis Ford Coppola, Edmund H. North","Jan 25, 1970  Wide","May 23, 2006",,2h 51m,20th Century Fox,"Stereo, DTS",,
SON OF SAUL,80,96,R (Some Graphic Nudity|Disturbing Violent Content),"History, Drama",German,László Nemes,"Gábor Sipos, Gábor Rajna","Clara Royer, László Nemes","Dec 18, 2015  Limited","Apr 26, 2016",$1.8M,1h 47m,Sony Pictures Classics,Dolby Digital,,
WEST SIDE STORY,84,92,,Musical,English,"Jerome Robbins, Robert Wise",Robert Wise,"Jerome Robbins, Arthur Laurents, Ernest Lehman","Oct 18, 1961  Wide","Aug 1, 2006",,2h 31m,United Artists,"Stereo, Magnetic Stereo 6 Track",70mm,
ANOMALISA,71,91,R (Language|Graphic Nudity|Strong Sexual Content),"Comedy, Drama, Animation",English,"Charlie Kaufman, Duke Johnson","Rosa Tran, Duke Johnson, Charlie Kaufman, Dino Stamatopoulos",Charlie Kaufman,"Mar 18, 2016  Wide","May 3, 2016",$3.4M,1h 30m,Paramount Pictures,,,
BARTON FINK,89,91,R,Drama,English,Joel Coen,"Ethan Coen, Graham Place","Ethan Coen, Joel Coen","Aug 1, 1991  Wide","Feb 1, 2005",$5.7M,1h 56m,20th Century Fox,"Surround, Dolby Stereo",Flat (1.66:1),
BLACK DYNAMITE,85,83,R (Sexuality/Nudity|Language|Drug Content|Some Violence),"Comedy, Action",English,Scott Sanders,"Jon Steingart, Jenny Wiener Steingart","Michael Jai White, Byron Minns, Scott Sanders","Oct 16, 2009  Limited","Feb 16, 2010",$228.5K,1h 30m,Apparition,,,
MY BEST FRIEND'S WEDDING,73,73,PG-13,"Romance, Comedy",English,P.J. Hogan,Jerry Zucker,Ronald Bass,"Jun 20, 1997  Original","Jul 3, 2001",$126.8M,1h 45m,"TriStar Pictures, Columbia Tristar, Sony Pictures Entertainment","SDDS, Surround, Dolby Digital","35mm, Scope (2.35:1)",
THE DEATH OF DICK LONG,86,74,R (Brief Drug Use|Pervasive Language|Disturbing Sexual Material),"Comedy, Drama",English,Daniel Scheinert,"Daniel Scheinert, Melodie Sisk, Jonathan Wang",Billy Chew,"Sep 27, 2019  Limited","Sep 17, 2019",,1h 40m,A24,,,
