Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
ELITE SQUAD 2,91,91,,"Action, Crime, Drama",Portuguese (Brazil),José Padilha,"James D'Arcy, Leonardo Edde, Bráulio Mantovani, Malu Miranda, José Padilha, Marcos Prado, Carlos Eduardo Rodrigues","Bráulio Mantovani, José Padilha, Rodrigo Pimentel","Nov 11, 2011  Original","Feb 14, 2012",$100.1K,1h 56m,Variance Films,,,
ELLE,73,91,R (Disturbing Sexual Content|Brief Graphic Nudity|Violence|Language|Sexual Assault|Some Grisly Images),"Mystery & Thriller, Drama",French (France),Paul Verhoeven,"Saïd Ben Saïd, Michel Merkt","David Birke, Philippe Djian, David Birke, Harold Manning","Nov 11, 2016  Limited","Feb 21, 2017",$2.3M,2h 11m,Sony Pictures Classics,"Dolby, Dolby Digital",,
FACES PLACES,89,99,PG (Thematic Elements|Brief Nude Images),Documentary,French (France),"Agnès Varda, JR",Rosalie Varda,,"Oct 6, 2017  Limited","Feb 27, 2018",$952.7K,1h 29m,Cohen Media Group,,Flat (1.85:1),
FRANTZ,85,91,PG-13 (Thematic Elements|Brief War Violence),"History, Drama",French (France),François Ozon,"Éric Altmayer, Nicolas Altmayer, Stefan Arndt, Uwe Schott",François Ozon,"Mar 15, 2017  Limited","Jun 13, 2017",$880.5K,1h 53m,Music Box Films,,,
GIRL,74,84,R (Graphic Nudity|Brief Disturbing Content|Some Sexual Content),Drama,French (France),Lukas Dhont,Dirk Impens,"Lukas Dhont, Angelo Tijssens",,"Mar 15, 2019",,1h 40m,,,,
THE FAIRY,56,90,,"Comedy, Drama, Romance",French (France),"Dominique Abel, Fiona Gordon, Bruno Romy","Charles Gillibert, Marin Karmitz, Dominique Abel, Fiona Gordon","Dominique Abel, Fiona Gordon, Bruno Romy, Dominique Abel","Feb 24, 2012  Limited","Feb 18, 2016",$38.4K,1h 34m,Kino Lorber,,,
THE SECRET OF THE GRAIN,76,93,,Drama,French (France),Abdel Kechiche,Claude Berri,Abdel Kechiche,"Dec 24, 2008  Limited","Jul 27, 2010",,2h 31m,IFC Films,,,
LA MÔME,84,74,PG-13 (Language|Brief Nudity|Sexual Content|Substance Abuse|Thematic Elements),"Biography, Drama",French (France),Olivier Dahan,Alain Goldman,"Olivier Dahan, Isabelle Sobelman","Jun 8, 2007  Limited","Nov 13, 2007",$10.3M,2h 20m,Picturehouse,Dolby Digital,,
LAST TANGO IN PARIS,76,83,NC-17,Drama,French (France),Bernardo Bertolucci,Alberto Grimaldi,"Bernardo Bertolucci, Bernardo Bertolucci, Franco Arcalli, Agnès Varda, Franco Arcalli, Bernardo Bertolucci","Oct 14, 1972  Original","Aug 14, 2001",,2h 10m,"United Artists, MGM Home Entertainment",Mono,35mm,
LONG WAY NORTH,77,98,PG (Some Peril|Mild Language),"Adventure, Drama, Animation",French (France),Rémi Chayé,"Ron Dyens, Henri Magalon","Claire Paoletti, Patricia Valeix, Claire Paoletti, Patricia Valeix","Sep 30, 2016  Limited","Jan 3, 2017",,1h 21m,Shout! Factory,,,
MY LIFE AS A ZUCCHINI,89,99,PG-13 (Thematic Elements|Suggestive Material),"Comedy, Drama, Animation",French (France),Claude Barras,"Marc Bonny, Armelle Glorennec, Pauline Gygax, Max Karli, Kateryna Merkt, Michel Merkt",Céline Sciamma,"Feb 24, 2017  Limited","May 23, 2017",$292.3K,1h 6m,GKIDS,,,
OUTSIDE THE LAW,64,76,R (Violence),"History, Drama, Action",French (France),Rachid Bouchareb,Jean Bréhat,"Rachid Bouchareb, Rachid Bouchareb",,"Aug 2, 2011",,2h 18m,,,,
