,title,country,genre,original title,rating,ratingcount,url,year,cluster
467,3 Extremes II (2002),Thailand,"Horror, Mystery",Sam gang,"6,1",3719.0,https://www.imdb.com/title/tt0324242/,2002.0,4
468,La question humaine (2007),France,"Drama, History, Music",,"6,1",1220.0,https://www.imdb.com/title/tt0765141/,2007.0,4
469,Labyrinth of Flames (2000),Japan,"Animation, Fantasy",Honô no rabirinsu,6,118.0,https://www.imdb.com/title/tt0314017/,2000.0,1
470,Mother's Elling (2003),Norway,"Comedy, Drama",Mors Elling,6,2601.0,https://www.imdb.com/title/tt0368045/,2003.0,5
471,Winter's Child (1989),France,Drama,L&apos;enfant de l&apos;hiver,6,246.0,https://www.imdb.com/title/tt0097278/,1989.0,3
472,Daddy or Mommy (2015),France,"Comedy, Drama, Romance",Papa ou maman,6,4522.0,https://www.imdb.com/title/tt4080672/,2015.0,4
473,Tout contre elle (2019),France,"Drama, Thriller",,6,141.0,https://www.imdb.com/title/tt10161552/,2019.0,5
474,Max My Love (1986),France,Comedy,Max mon amour,6,1181.0,https://www.imdb.com/title/tt0091498/,1986.0,4
475,Poison Ivy (1953),France,"Crime, Drama, Thriller",La môme vert de gris,6,308.0,https://www.imdb.com/title/tt0046115/,1953.0,4
476,Z for Zachariah (2015),Denmark,"Drama, Romance, Sci-Fi",,6,31316.0,https://www.imdb.com/title/tt1598642/,2015.0,3
477,Yankesicinin aski (1965),Turkey,Romance,,6,53.0,https://www.imdb.com/title/tt0413504/,1965.0,3
478,Saint Amour (2016),France,"Comedy, Drama",,6,1472.0,https://www.imdb.com/title/tt4589186/,2016.0,4
479,Heugsuseon (2001),South Korea,"Action, Drama, Mystery",,6,340.0,https://www.imdb.com/title/tt0297168/,2001.0,2
480,A Woman in Flames (1983),West Germany,Drama,Die flambierte Frau,6,590.0,https://www.imdb.com/title/tt0083949/,1983.0,4
481,The Midwife (2015),Finland,"Drama, History, Romance",Kätilö,6,1343.0,https://www.imdb.com/title/tt3298600/,2015.0,3
482,Exiled: The Chosen Ones (2022),Indonesia,"Action, Thriller",,6,27.0,https://www.imdb.com/title/tt12951176/,2022.0,4
483,Wo chi le na nan hai yi zheng nian de zao can (2022),Taiwan,"Comedy, Romance",,"5,9",167.0,https://www.imdb.com/title/tt17292614/,2022.0,4
484,Dragon Ball Z: Bio-Broly (1994),Japan,"Animation, Action, Sci-Fi",Dragon Ball Z: Super Senshi Gekiha!! Katsu No wa Ore da,"5,9",5232.0,https://www.imdb.com/title/tt0142234/,1994.0,4
485,The Young and the Guilty (1958),West Germany,"Drama, Romance",,"5,9",23.0,https://www.imdb.com/title/tt0052417/,1958.0,5
486,"Mi iubita, mon amour (2021)",France,Drama,,"5,9",114.0,https://www.imdb.com/title/tt14821328/,2021.0,4
487,My Best Friend's Girl (1983),France,"Comedy, Romance",La femme de mon pote,"5,9",1081.0,https://www.imdb.com/title/tt0085529/,1983.0,4
488,Lady Chatterley's Lover (1955),France,"Drama, Romance",L&apos;amant de lady Chatterley,"5,9",169.0,https://www.imdb.com/title/tt0047817/,1955.0,4
489,Paradise Now (1970),Netherlands,Documentary,,"5,9",23.0,https://www.imdb.com/title/tt0235658/,1970.0,4
490,Dreamchild (2020),France,Drama,L&apos;enfant rêvé,"5,9",143.0,https://www.imdb.com/title/tt11229766/,2020.0,0
491,Brother and Sister (2022),France,Drama,Frère et soeur,"5,9",511.0,https://www.imdb.com/title/tt14622802/,2022.0,4
492,Mexico in Flames (1982),Mexico,"Drama, Western","Krasnye kolokola, film pervyy - Meksika v ogne","5,9",208.0,https://www.imdb.com/title/tt0084222/,1982.0,4
493,The Outskirts of Alphaville (2003),France,"Documentary, Short","Alphaville, périphéries...","5,8",6.0,https://www.imdb.com/title/tt5376958/,2003.0,4
494,"Elle ne pleure pas, elle chante (2011)",Belgium,Drama,,"5,8",113.0,https://www.imdb.com/title/tt1384594/,2011.0,4
495,1er amour (2013),Canada,Drama,,"5,8",245.0,https://www.imdb.com/title/tt2246520/,2013.0,5
496,L'assassin n'est pas coupable (1946),France,"Crime, Drama",,"5,8",25.0,https://www.imdb.com/title/tt0149721/,1946.0,2
497,The Maid (1990),France,"Comedy, Romance",Un amour de banquier,"5,8",844.0,https://www.imdb.com/title/tt0102377/,1990.0,3
498,A Priceless Love (2022),France,Romance,,"5,8",82.0,https://www.imdb.com/title/tt15426386/,2022.0,0
499,Miracles Still Happen (1974),West Germany,"Adventure, Drama",I miracoli accadono ancora,"5,8",296.0,https://www.imdb.com/title/tt0071845/,1974.0,4
500,Ren yu duo duo (2005),Taiwan,"Drama, Fantasy, Romance",,"5,8",198.0,https://www.imdb.com/title/tt0768137/,2005.0,4
501,Bobby Z (2007),Italy,"Action, Crime, Thriller",The Death and Life of Bobby Z,"5,8",14876.0,https://www.imdb.com/title/tt0473188/,2007.0,4
502,Crystal Fairy & the Magical Cactus (2013),Chile,"Adventure, Comedy, Drama",Crystal Fairy y el cactus mágico,"5,8",8174.0,https://www.imdb.com/title/tt2332579/,2013.0,0
